CODMES_PLANIFICACION,FECDIA_TARGET,LLAMADAS_INGRESADAS_TARGET,CODMES_DATA_VARIABLES,LINEA,TRX_AGENTE,TRX_BCA_INTERNET,TRX_BCA_MOVIL,TRX_BCA_TELEFONO,TRX_CAJERO_AUTOMATICO,TRX_CAJERO_OTRAS_REDES,TRX_POS,TRX_APP_NEGOCIO,TRX_VENTANILLA,CLI_NORMAL_TOTAL_ODS,CLI_EXCL_TOTAL_ODS,CLI_SUPEREXCL_TOTAL_ODS,CLI_PEQYME_TOTAL_ODS,CLI_NO_BANCO_TOTAL_ODS,MAX_INGRESADAS_D_U1,MAX_INGRESADAS_D_U3,MAX_INGRESADAS_D_U6,MAX_INGRESADAS_U1,MAX_INGRESADAS_U3,MAX_INGRESADAS_U6,MIN_INGRESADAS_D_U1,MIN_INGRESADAS_D_U3,MIN_INGRESADAS_D_U6,MIN_INGRESADAS_U1,MIN_INGRESADAS_U3,MIN_INGRESADAS_U6,PROM_INGRESADAS_D_U1,PROM_INGRESADAS_D_U3,PROM_INGRESADAS_D_U6,PROM_INGRESADAS_U1,PROM_INGRESADAS_U3,PROM_INGRESADAS_U6,DIA_SEMANA_NUM,DIA_SEMANA_DES,TIPOLOGIA,CANT_DIAS_DESP_FACT_MEX_22,CANT_DIAS_DESP_FACT_ISA_10,CANT_DIAS_DESP_FACT_ISA_25,DIA_FACT_MEX_22,DIA_FACT_ISA_10,DIA_FACT_ISA_25
201904,20190709,32946,201902,PREGUNTAS FRECUENTES,28662377,14962854,87114481,4609903,25780818,228069,24099294,11672087,7582095,8950986,392847,45333,788880,11125003,33159,33159,33159,34108,37670,37670,21404,19503,4237,6019,6019,4237,26819,24024,22153,20319,19905,20242,2,Mar,NORMAL,18,30,15,0,0,0
201909,20191221,20643,201907,PREGUNTAS FRECUENTES,33326005,23142805,121829500,5185935,26105220,280016,27117702,13445473,7786188,9447250,390705,46227,815446,11045921,26760,31315,31315,45216,45216,45216,18262,16910,14482,8060,8047,6019,22037,22439,20189,25147,25645,23635,6,Sab,NORMAL,30,12,27,0,0,0
202008,20201126,31831,202006,PREGUNTAS FRECUENTES,36320523,25292269,208994128,4904237,16802768,218015,28572522,13047454,5225646,10434334,372966,46359,878186,11008988,42087,51367,51367,45943,55548,55548,35702,31935,12877,5494,4383,3347,38020,39516,35192,32336,33849,31293,4,Jue,NORMAL,4,17,1,0,0,0
202101,20210403,19090,202011,PREGUNTAS FRECUENTES,37514287,24498555,225218855,4341589,17312105,210314,34216886,14239011,5676178,10997764,373939,46111,926343,11140243,32154,32154,32154,44799,46040,49175,24035,22667,20730,5315,47,47,27791,27536,26094,29872,30168,30499,6,Sab,EFECTO F,13,25,9,0,0,0
202106,20210904,27665,202104,PREGUNTAS FRECUENTES,38933731,22403207,237205820,3535091,18840978,302627,45057642,14391091,5297676,11458563,391205,46329,952640,11176270,29587,40496,40496,47708,48273,48273,20379,17359,17359,4961,3224,1093,25711,24080,24339,30590,28680,28359,6,Sab,NORMAL,14,26,11,0,0,0
202108,20211118,30100,202106,PREGUNTAS FRECUENTES,40031318,22614634,232032657,3952760,19086504,320371,49135104,14050721,5237213,11754475,390853,46488,961483,11232845,41907,53594,53594,57793,57793,57793,34796,12438,12438,42,42,42,38912,36264,33120,33707,32712,30069,4,Jue,NORMAL,28,8,25,0,0,0
201708,20171101,10979,201706,PREGUNTAS FRECUENTES,20013203,18525878,31795880,4676608,22462921,212273,15107971,10862897,8808583,7273233,372784,35469,706300,11299317,19578,19578,29996,20288,24665,30178,10844,10844,10844,5129,1956,1956,15338,15852,18215,14334,14297,15544,3,Mie,FERIADO,11,23,7,0,0,0
201708,20171103,7442,201706,PREGUNTAS FRECUENTES,20013203,18525878,31795880,4676608,22462921,212273,15107971,10862897,8808583,7273233,372784,35469,706300,11299317,18978,20724,24043,20288,24665,30178,14350,8506,5595,5129,1956,1956,15796,15782,16264,14334,14297,15544,5,Vie,COSTADO,13,25,9,0,0,0
201708,20171109,17657,201706,PREGUNTAS FRECUENTES,20013203,18525878,31795880,4676608,22462921,212273,15107971,10862897,8808583,7273233,372784,35469,706300,11299317,18620,24665,24665,20288,24665,30178,13340,9998,9998,5129,1956,1956,15883,15780,16748,14334,14297,15544,4,Jue,NORMAL,19,32,16,0,0,0
201709,20171208,11963,201707,PREGUNTAS FRECUENTES,19576997,17682032,33591440,4650930,20720228,207324,14814819,11229417,8730602,7379170,372774,35624,710605,11258323,23669,23669,23669,23669,23669,30178,17702,8506,5595,6978,2906,1956,19675,16664,16457,16595,14901,15390,5,Vie,FERIADO,17,29,14,0,1,0
201807,20181002,31564,201805,PREGUNTAS FRECUENTES,24670267,17547908,53707337,4920382,23561112,216498,17593675,11327287,8174754,8123328,404993,39892,746813,11184207,33003,33945,33945,33618,37631,37631,20210,160,160,6277,160,160,26501,23258,21725,20592,19939,18631,2,Mar,COSTADO,11,23,7,0,0,0
201910,20200122,22995,201908,PREGUNTAS FRECUENTES,35218163,24156144,139792842,5653085,28308894,345057,31356405,14372128,8270396,9503238,392573,46323,821447,11058875,33394,39761,39761,38026,45216,45216,24065,23938,14019,8195,8060,6935,29495,28888,27291,24479,25498,24318,3,Mie,NORMAL,0,13,29,1,0,0
202003,20200615,48599,202001,PREGUNTAS FRECUENTES,22625651,25316943,151028645,4961667,9979372,150797,14729616,9635624,3103533,9937486,373729,46113,838458,10970685,46584,46584,46584,46584,46584,46584,29928,27003,25641,8267,4246,4246,38705,34258,33496,29555,25717,25324,1,Lun,PICO,25,5,22,0,0,0
202003,20200619,37616,202001,PREGUNTAS FRECUENTES,22625651,25316943,151028645,4961667,9979372,150797,14729616,9635624,3103533,9937486,373729,46113,838458,10970685,34669,37284,37284,46584,46584,46584,26469,22667,13779,8267,4246,4246,30735,27990,27157,29555,25717,25324,5,Vie,NORMAL,29,9,26,0,0,0
202004,20200728,15679,202002,PREGUNTAS FRECUENTES,28324311,32333849,186781594,5434655,12772092,184028,18273680,10812454,3549167,10055562,374337,46120,844237,10947968,35531,45354,45354,39611,46584,46584,30463,25257,17437,5401,5401,4246,31979,32480,30486,26420,27042,25648,2,Mar,FERIADO,6,19,3,0,0,0
202005,20200825,37586,202003,PREGUNTAS FRECUENTES,32954528,29827421,213143503,5300888,15386245,205735,24165692,13382570,4134045,10146299,374361,46144,848741,10963836,38748,45354,45354,47829,47829,47829,33265,28432,17437,3347,3347,3347,36359,35047,30980,30161,28737,26329,2,Mar,NORMAL,3,16,0,0,0,1
202009,20201202,42153,202007,PREGUNTAS FRECUENTES,34795510,24152338,211006951,4421745,16881914,217955,30230609,13335406,5340549,10573422,375555,46404,888791,11093658,46774,46774,49721,49175,49175,55548,28912,28912,26639,5002,5002,3347,38317,38627,36974,31135,31986,31562,3,Mie,COSTADO,11,23,7,0,0,0
202010,20210111,40549,202008,PREGUNTAS FRECUENTES,38927275,25436166,242610485,5844746,19864084,274973,37050874,15224357,5606085,10691461,375682,46366,901104,11079282,42479,45801,52157,44489,49175,55548,35089,34804,33204,4937,4937,3347,38153,40337,41070,29030,30831,31973,1,Lun,NORMAL,21,1,18,0,0,0
202012,20210319,29133,202010,PREGUNTAS FRECUENTES,32110250,20081004,200196957,3714111,13846029,174471,26810840,12101639,4535405,10986069,372159,46123,920737,10991341,38035,41060,44944,44381,46040,49175,3138,3138,3138,3138,47,47,28033,31694,33861,31187,29884,30935,5,Vie,NORMAL,26,9,23,0,0,0
202107,20211008,13045,202105,PREGUNTAS FRECUENTES,38208438,22016229,231341747,3145736,18101454,295121,44252799,14310581,5471112,11590924,390839,46410,957687,11161890,46949,46949,46949,53594,53594,53594,36103,24523,11843,10851,4741,1093,41405,36321,31723,34117,32087,29030,5,Vie,FERIADO,17,29,14,0,1,0
201708,20171110,17553,201706,PREGUNTAS FRECUENTES,20013203,18525878,31795880,4676608,22462921,212273,15107971,10862897,8808583,7273233,372784,35469,706300,11299317,18978,20724,24043,20288,24665,30178,14350,8506,5595,5129,1956,1956,15796,15782,16264,14334,14297,15544,5,Vie,NORMAL,20,0,17,0,1,0
201709,20171213,20236,201707,PREGUNTAS FRECUENTES,19576997,17682032,33591440,4650930,20720228,207324,14814819,11229417,8730602,7379170,372774,35624,710605,11258323,21838,21838,27942,23669,23669,30178,15217,10844,10844,6978,2906,1956,17607,16143,17683,16595,14901,15390,3,Mie,NORMAL,22,3,19,0,0,0
201710,20180108,18359,201708,PREGUNTAS FRECUENTES,21468232,18752584,39790301,6083251,26226573,274089,17692483,11757880,8856169,7434840,372670,35784,715130,11258146,52376,52376,52376,52376,52376,52376,20537,15899,8375,3825,3825,1956,29358,22512,19795,20092,17012,15913,1,Lun,NORMAL,18,30,15,0,0,0
201806,20180922,14852,201804,PREGUNTAS FRECUENTES,24594693,17339765,48714205,4829997,22771520,223288,18390153,11958279,8486633,8021856,404929,39734,743574,11212992,25176,25176,25176,30270,37631,37631,14289,14133,12594,6279,160,160,19086,17138,16083,19458,18956,17857,6,Sab,NORMAL,0,13,29,0,0,0
201811,20190208,19265,201809,PREGUNTAS FRECUENTES,25762480,14920556,67629067,5008295,26018046,224517,21193583,12073129,8536788,8488926,404674,44715,762868,11132550,29615,29615,30210,32369,36394,36394,22956,19221,13322,7793,0,0,27396,23664,22200,21626,20048,19828,5,Vie,NORMAL,18,30,15,0,1,0
201812,20190318,25267,201810,PREGUNTAS FRECUENTES,24654230,13900686,66148467,4897474,23587413,214995,20711900,11202992,7770839,8573327,404858,44848,768137,11155381,37125,37125,37125,37125,37125,37125,15238,11253,11253,4237,0,0,26382,25544,25045,20750,20394,20044,1,Lun,NORMAL,25,8,22,0,0,0
202001,20200425,22271,201911,PREGUNTAS FRECUENTES,26070493,18505054,127451253,4991536,17702507,231403,20381756,10694171,5442165,9766305,373015,46091,835311,11032393,25865,27245,31315,37284,45016,45216,18257,14900,14900,4246,4246,4246,21476,21726,22113,22552,24285,24891,6,Sab,NORMAL,3,16,0,0,0,0
202002,20200514,34598,201912,PREGUNTAS FRECUENTES,18735394,20960890,124185019,4859963,8685418,154081,12023549,8492585,2918414,9844046,373620,46094,836721,10992498,28396,31259,35558,42330,45016,45216,23672,8751,8751,8532,4246,4246,26030,24651,25760,24998,23895,24574,4,Jue,NORMAL,23,4,20,0,0,0
202007,20201029,30998,202005,PREGUNTAS FRECUENTES,32615672,24685309,200631965,3902954,14247866,186105,25023972,11909075,4691790,10314135,372852,46270,866798,11006459,41932,51367,51367,46242,55548,55548,31935,30484,12877,8484,3347,3347,37541,38614,33348,32458,33116,30112,4,Jue,NORMAL,7,20,4,0,0,0
202009,20201201,44381,202007,PREGUNTAS FRECUENTES,34795510,24152338,211006951,4421745,16881914,217955,30230609,13335406,5340549,10573422,375555,46404,888791,11093658,49175,49175,55548,49175,49175,55548,30383,15679,15679,5002,5002,3347,,37709,38207,31135,31986,31562,2,Mar,PICO,9,22,6,0,0,0
202105,20210828,27815,202103,PREGUNTAS FRECUENTES,38769826,28276894,239503185,4469183,19578786,283172,44117885,15856265,5497118,11365919,391451,46232,946860,11168596,40496,40496,40496,48273,48273,48273,17359,17359,17359,4741,1093,1093,25819,22996,24761,31636,27713,28473,6,Sab,NORMAL,6,19,3,0,0,0
202102,20210518,48273,202012,PREGUNTAS FRECUENTES,34233414,21550565,221041008,3430988,15259420,209935,33122488,12603714,4939701,11077526,391246,46116,930256,11167196,38574,44381,49175,40139,44799,49175,26382,26382,26382,3698,3138,47,33105,35963,35880,26416,29250,29553,2,Mar,NORMAL,27,8,24,0,0,0
201707,20171017,23722,201705,PREGUNTAS FRECUENTES,18962956,17639908,27046262,4217649,21606778,204429,14140625,10683078,8661919,7221429,372910,35205,702648,10226720,17939,28136,28136,22635,28136,30178,12675,12675,12675,2906,1956,1956,15865,18318,19445,13827,14814,15888,2,Mar,COSTADO,26,7,23,0,0,0
201712,20180319,23274,201710,PREGUNTAS FRECUENTES,18841866,13396467,34710288,4469190,22066636,198822,14948993,10024278,7996545,7573236,381387,36626,718492,11256520,23764,52376,52376,31150,52376,52376,3561,3561,3561,3561,3561,2906,18247,23670,20878,17841,18483,16692,1,Lun,NORMAL,26,9,23,0,0,0
201802,20180515,33945,201712,PREGUNTAS FRECUENTES,20511422,19673961,42398553,5067666,24675894,209105,17087701,10951420,8421885,7709360,386167,36873,726669,11256419,20246,23538,34148,25977,31150,52376,18782,16773,15071,4847,3561,3561,19448,19900,20337,16932,16950,17517,2,Mar,COSTADO,24,5,21,0,0,0
201804,20180727,20357,201802,PREGUNTAS FRECUENTES,22573796,17899090,43792695,4617457,24740209,228739,16662713,10828284,8038324,7866500,385921,37288,735264,11236811,20776,22534,31150,31540,31540,31540,17410,6973,6973,1037,1037,1037,18699,18288,18606,17631,17278,,5,Vie,NORMAL,5,18,2,0,0,0
201812,20190302,26367,201810,PREGUNTAS FRECUENTES,24654230,13900686,66148467,4897474,23587413,214995,20711900,11202992,7770839,8573327,404858,44848,768137,11155381,26750,26750,26750,37125,37125,37125,15779,14990,10100,4237,0,0,20977,18750,17784,20750,20394,20044,6,Sab,COSTADO,8,21,5,0,0,0
201905,20190813,26166,201903,PREGUNTAS FRECUENTES,31397448,14698664,100703425,5673544,26916515,292812,26699689,13956227,8469653,9043973,390006,45511,791135,11115779,28141,33159,33159,33709,37670,37670,24135,19676,4237,6935,6019,4237,26378,25315,22705,22697,21042,20432,2,Mar,NORMAL,23,3,20,0,0,0
201905,20190814,26343,201903,PREGUNTAS FRECUENTES,31397448,14698664,100703425,5673544,26916515,292812,26699689,13956227,8469653,9043973,390006,45511,791135,11115779,29737,30684,32757,33709,37670,37670,14019,14019,14019,6935,6019,4237,22942,22291,22653,22697,21042,20432,3,Mie,NORMAL,24,4,21,0,0,0
201907,20191010,27627,201905,PREGUNTAS FRECUENTES,31909656,15075183,101359451,4706473,25387783,262051,25663219,12363029,7839206,9225119,389981,45914,803938,11100823,26479,33709,33709,40878,40878,40878,23288,19845,12205,8047,6935,6019,24476,24948,22418,24918,23139,21549,4,Jue,NORMAL,19,0,16,0,1,0
202006,20200903,44385,202004,PREGUNTAS FRECUENTES,33740715,26609809,209363260,4386032,14487279,202826,25155820,11239621,4051101,10246677,372946,46209,858411,10970762,51367,51367,51367,55548,55548,55548,36638,12877,8751,4383,3347,3347,43479,34904,30263,36850,31133,28425,4,Jue,NORMAL,13,25,9,0,0,0
202011,20210227,28721,202009,PREGUNTAS FRECUENTES,35336229,21607684,213019606,5213560,17861039,215652,33231462,13208795,5385680,10807893,372659,46233,907711,11068659,30371,30371,34075,46040,49175,55548,22667,20730,20730,47,47,47,26299,24751,25984,29421,29853,31862,6,Sab,PICO,5,18,2,0,0,0
202101,20210416,26535,202011,PREGUNTAS FRECUENTES,37514287,24498555,225218855,4341589,17312105,210314,34216886,14239011,5676178,10997764,373939,46111,926343,11140243,34665,38035,44944,44799,46040,49175,7072,3138,3138,5315,47,47,28095,29591,32116,29872,30168,30499,5,Vie,COSTADO,26,6,23,0,0,0
202109,20211223,24336,202107,PREGUNTAS FRECUENTES,39576230,28276894,239503185,3563876,18727119,298444,49819879,15024724,5555723,11755570,394459,46599,971550,11365933,50230,53594,53594,53274,57793,57793,24129,12438,12438,65,42,42,32720,35583,33443,27135,31447,29992,4,Jue,NORMAL,1,14,29,0,0,0
201706,20170915,20452,201704,PREGUNTAS FRECUENTES,19188289,18377882,28731093,4324902,22449632,215231,14615238,10630222,8993811,7149906,372915,35075,698151,10142657,20724,20724,24043,24665,30178,30178,14016,5595,5595,1956,1956,1956,17382,16250,16938,14744,15886,16133,5,Vie,PICO,25,5,22,0,0,0
201708,20171111,14700,201706,PREGUNTAS FRECUENTES,20013203,18525878,31795880,4676608,22462921,212273,15107971,10862897,8808583,7273233,372784,35469,706300,11299317,12864,18564,23198,20288,24665,30178,11446,6698,6698,5129,1956,1956,11973,12646,13502,14334,14297,15544,6,Sab,NORMAL,21,1,18,0,0,0
201711,20180216,20562,201709,PREGUNTAS FRECUENTES,19892305,16989704,35782118,4729482,23005504,218324,15838015,11757880,8626043,7509030,381136,36446,713877,11257072,23403,25913,25913,26234,52376,52376,7442,7442,7442,6684,3825,1956,16839,19503,17642,17483,18079,16178,5,Vie,COSTADO,26,6,23,0,0,0
201801,20180413,17410,201711,PREGUNTAS FRECUENTES,21579067,21654629,41671586,4982751,25585460,218248,16883602,11026213,8544474,7650227,381405,36774,723083,11248888,20072,31150,31150,25770,31150,52376,16290,7442,7442,3593,3561,3561,17957,18924,19053,16074,17129,17070,5,Vie,NORMAL,23,3,20,0,0,0
201801,20180423,18620,201711,PREGUNTAS FRECUENTES,21579067,21654629,41671586,4982751,25585460,218248,16883602,11026213,8544474,7650227,381405,36774,723083,11248888,25770,25770,52376,25770,31150,52376,3826,3561,3561,3593,3561,3561,16939,18894,20703,16074,17129,17070,1,Lun,NORMAL,1,14,30,0,0,0
201802,20180529,22282,201712,PREGUNTAS FRECUENTES,20511422,19673961,42398553,5067666,24675894,209105,17087701,10951420,8421885,7709360,386167,36873,726669,11256419,20246,23538,34148,25977,31150,52376,18782,16773,15071,4847,3561,3561,19448,19900,20337,16932,16950,17517,2,Mar,NORMAL,7,20,4,0,0,0
201804,20180731,28170,201802,PREGUNTAS FRECUENTES,22573796,17899090,43792695,4617457,24740209,228739,16662713,10828284,8038324,7866500,385921,37288,735264,11236811,26496,26496,26496,31540,31540,31540,17661,17661,16773,1037,1037,1037,20779,19936,20115,17631,17278,17202,2,Mar,PICO,9,22,6,0,0,0
202009,20201203,36842,202007,PREGUNTAS FRECUENTES,34795510,24152338,211006951,4421745,16881914,217955,30230609,13335406,5340549,10573422,375555,46404,888791,11093658,44385,44385,51367,49175,49175,55548,28013,28013,12877,5002,5002,3347,35619,37097,36001,31135,31986,31562,4,Jue,NORMAL,12,24,8,0,0,0
202012,20210313,21990,202010,PREGUNTAS FRECUENTES,32110250,20081004,200196957,3714111,13846029,174471,26810840,12101639,4535405,10986069,372159,46123,920737,10991341,30259,30371,31662,44381,46040,49175,27199,21140,20730,3138,47,47,28456,26376,25687,31187,29884,30935,6,Sab,NORMAL,20,3,17,0,0,0
202012,20210317,43191,202010,PREGUNTAS FRECUENTES,32110250,20081004,200196957,3714111,13846029,174471,26810840,12101639,4535405,10986069,372159,46123,920737,10991341,42153,42153,46774,44381,46040,49175,32443,30840,28912,3138,47,47,37945,35075,36917,31187,29884,30935,3,Mie,NORMAL,24,7,21,0,0,0
202101,20210406,38929,202011,PREGUNTAS FRECUENTES,37514287,24498555,225218855,4341589,17312105,210314,34216886,14239011,5676178,10997764,373939,46111,926343,11140243,41870,44381,49175,44799,46040,49175,34621,27290,27290,5315,47,47,37661,37023,37140,29872,30168,30499,2,Mar,NORMAL,16,28,13,0,0,0
202105,20210817,50797,202103,PREGUNTAS FRECUENTES,38769826,28276894,239503185,4469183,19578786,283172,44117885,15856265,5497118,11365919,391451,46232,946860,11168596,48273,48273,48273,48273,48273,48273,30227,25306,25306,4741,1093,1093,40244,34923,35443,31636,27713,28473,2,Mar,COSTADO,27,7,24,0,0,0
202106,20210927,32881,202104,PREGUNTAS FRECUENTES,38933731,22403207,237205820,3535091,18840978,302627,45057642,14391091,5297676,11458563,391205,46329,952640,11176270,45656,47745,47745,47708,48273,48273,34183,28248,28248,4961,3224,1093,38775,38084,37416,30590,28680,28359,1,Lun,NORMAL,5,18,2,0,0,0
202107,20211022,26191,202105,PREGUNTAS FRECUENTES,38208438,22016229,231341747,3145736,18101454,295121,44252799,14310581,5471112,11590924,390839,46410,957687,11161890,46949,46949,46949,53594,53594,53594,36103,24523,11843,10851,4741,1093,41405,36321,31723,34117,32087,29030,5,Vie,NORMAL,0,13,28,1,0,0
201812,20190307,20324,201810,PREGUNTAS FRECUENTES,24654230,13900686,66148467,4897474,23587413,214995,20711900,11202992,7770839,8573327,404858,44848,768137,11155381,22788,32369,32369,37125,37125,37125,18613,7910,7910,4237,0,0,21359,21244,20686,20750,20394,20044,4,Jue,NORMAL,14,26,11,0,0,0
201908,20191126,32106,201906,PREGUNTAS FRECUENTES,33938703,20441741,117245434,5090118,26471831,290617,27458348,13789149,8248406,9349330,389805,46152,810327,11063646,35868,35960,35960,40958,40958,40958,26166,22489,19676,8889,7274,6019,30591,29646,27480,26856,24540,22791,2,Mar,NORMAL,4,17,1,0,0,0
202002,20200518,41672,201912,PREGUNTAS FRECUENTES,18735394,20960890,124185019,4859963,8685418,154081,12023549,8492585,2918414,9844046,373620,46094,836721,10992498,42330,45016,45016,42330,45016,45216,27003,25641,25641,8532,4246,4246,33034,32055,32365,24998,23895,24574,1,Lun,NORMAL,27,8,24,0,0,0
202004,20200707,46242,202002,PREGUNTAS FRECUENTES,28324311,32333849,186781594,5434655,12772092,184028,18273680,10812454,3549167,10055562,374337,46120,844237,10947968,35531,45354,45354,39611,46584,46584,30463,25257,17437,5401,5401,4246,31979,32480,30486,26420,27042,25648,2,Mar,NORMAL,16,28,13,0,0,0
202006,20200918,33308,202004,PREGUNTAS FRECUENTES,33740715,26609809,209363260,4386032,14487279,202826,25155820,11239621,4051101,10246677,372946,46209,858411,10970762,45093,47829,47829,55548,55548,55548,37616,9036,9036,4383,3347,3347,40324,34425,31208,36850,31133,28425,5,Vie,NORMAL,28,8,25,0,0,0
202103,20210628,45656,202101,PREGUNTAS FRECUENTES,36513011,23838905,252559287,3321040,17154355,239341,40998423,13111701,5317583,11192369,391470,46142,937141,11156369,41325,44799,46040,47742,47742,47742,30780,29125,29125,1093,1093,47,35098,36748,38003,27657,28034,28969,1,Lun,NORMAL,6,19,3,0,0,0
201708,20171107,20983,201706,PREGUNTAS FRECUENTES,20013203,18525878,31795880,4676608,22462921,212273,15107971,10862897,8808583,7273233,372784,35469,706300,11299317,20288,20288,28136,20288,24665,30178,13489,12675,12675,5129,1956,1956,16610,16584,18632,14334,14297,15544,2,Mar,NORMAL,17,29,14,0,0,0
201802,20180512,16997,201712,PREGUNTAS FRECUENTES,20511422,19673961,42398553,5067666,24675894,209105,17087701,10951420,8421885,7709360,386167,36873,726669,11256419,15501,23732,23732,25977,31150,52376,14184,12594,12594,4847,3561,3561,15124,16011,16158,16932,16950,17517,6,Sab,NORMAL,21,2,18,0,0,0
201805,20180815,30075,201803,PREGUNTAS FRECUENTES,24418439,25429127,51917970,5674372,26620754,239631,19173552,12447926,8862078,7923383,404699,39578,738906,11232374,37631,37631,37631,37631,37631,37631,16903,15627,15497,160,160,160,23576,20792,20144,19753,18217,17590,3,Mie,PICO,25,5,22,0,0,0
201811,20190227,22532,201809,PREGUNTAS FRECUENTES,25762480,14920556,67629067,5008295,26018046,224517,21193583,12073129,8536788,8488926,404674,44715,762868,11132550,30429,30429,30429,32369,36394,36394,20538,6972,6972,7793,0,0,25104,22196,22430,21626,20048,19828,3,Mie,NORMAL,5,18,2,0,0,0
201902,20190515,29737,201812,PREGUNTAS FRECUENTES,27353626,13247617,78946632,4780061,25296041,221998,23000336,12082153,8197638,8745664,412923,45252,777890,11158320,22532,32757,32757,30789,37125,37125,18209,18209,6972,7540,4237,0,20310,23015,22606,19261,19810,19929,3,Mie,PICO,24,5,21,0,0,0
201907,20191011,26559,201905,PREGUNTAS FRECUENTES,31909656,15075183,101359451,4706473,25387783,262051,25663219,12363029,7839206,9225119,389981,45914,803938,11100823,32467,32467,37670,40878,40878,40878,23204,19248,6019,8047,6935,6019,27187,25261,23445,24918,23139,21549,5,Vie,NORMAL,20,1,17,0,0,0
201907,20191018,24210,201905,PREGUNTAS FRECUENTES,31909656,15075183,101359451,4706473,25387783,262051,25663219,12363029,7839206,9225119,389981,45914,803938,11100823,32467,32467,37670,40878,40878,40878,23204,19248,6019,8047,6935,6019,27187,25261,23445,24918,23139,21549,5,Vie,NORMAL,27,8,24,0,0,0
201912,20200304,38063,201910,PREGUNTAS FRECUENTES,31997390,21252831,131411861,4475822,24390914,287465,27679274,12517094,7598798,9721653,373013,46022,831335,11028780,35218,35218,39761,45016,45016,45216,5048,5048,5048,5048,5048,5048,24438,28001,28322,24205,24934,25290,3,Mie,NORMAL,12,24,8,0,0,0
202005,20200811,40409,202003,PREGUNTAS FRECUENTES,32954528,29827421,213143503,5300888,15386245,205735,24165692,13382570,4134045,10146299,374361,46144,848741,10963836,38748,45354,45354,47829,47829,47829,33265,28432,17437,3347,3347,3347,36359,35047,30980,30161,28737,26329,2,Mar,NORMAL,21,1,18,0,0,0
202010,20210116,28389,202008,PREGUNTAS FRECUENTES,38927275,25436166,242610485,5844746,19864084,274973,37050874,15224357,5606085,10691461,375682,46366,901104,11079282,28646,31662,43882,44489,49175,55548,21140,20730,18459,4937,4937,3347,24775,24754,26179,29030,30831,31973,6,Sab,COSTADO,26,6,23,0,0,0
202011,20210213,20521,202009,PREGUNTAS FRECUENTES,35336229,21607684,213019606,5213560,17861039,215652,33231462,13208795,5385680,10807893,372659,46233,907711,11068659,30371,30371,34075,46040,49175,55548,22667,20730,20730,47,47,47,26299,24751,25984,29421,29853,31862,6,Sab,NORMAL,23,3,20,0,0,0
202106,20210920,31757,202104,PREGUNTAS FRECUENTES,38933731,22403207,237205820,3535091,18840978,302627,45057642,14391091,5297676,11458563,391205,46329,952640,11176270,45656,47745,47745,47708,48273,48273,34183,28248,28248,4961,3224,1093,38775,38084,37416,30590,28680,28359,1,Lun,NORMAL,30,11,27,0,0,0
201710,20180116,20705,201708,PREGUNTAS FRECUENTES,21468232,18752584,39790301,6083251,26226573,274089,17692483,11757880,8856169,7434840,372670,35784,715130,11258146,34148,34148,34148,52376,52376,52376,15467,13489,12675,3825,3825,1956,23252,19313,18834,20092,17012,15913,2,Mar,COSTADO,26,6,23,0,0,0
201712,20180320,19356,201710,PREGUNTAS FRECUENTES,18841866,13396467,34710288,4469190,22066636,198822,14948993,10024278,7996545,7573236,381387,36626,718492,11256520,21396,34148,34148,31150,52376,52376,18727,15467,12675,3561,3561,2906,20078,21484,19111,17841,18483,16692,2,Mar,NORMAL,27,11,24,0,0,0
201802,20180518,24162,201712,PREGUNTAS FRECUENTES,20511422,19673961,42398553,5067666,24675894,209105,17087701,10951420,8421885,7709360,386167,36873,726669,11256419,20562,31150,31150,25977,31150,52376,16419,11963,7442,4847,3561,3561,19023,19596,19549,16932,16950,17517,5,Vie,NORMAL,27,8,24,0,0,0
201803,20180627,19528,201801,PREGUNTAS FRECUENTES,22863548,20928326,46006287,5239835,24745010,213865,17645482,12066962,8833508,7977605,386176,37134,736535,11057991,25432,25977,27181,25432,25977,52376,15627,15497,10979,6973,3593,3561,19212,19453,19693,17248,16745,17624,3,Mie,NORMAL,5,18,2,0,0,0
201906,20190927,26091,201904,PREGUNTAS FRECUENTES,29594440,15762880,98246181,4749534,26300017,258366,26380835,13171616,7983174,9139838,390202,45718,797748,11102907,28529,30682,37670,38873,38873,38873,21684,6019,6019,7274,6019,4331,23948,22525,22587,21757,21603,20597,5,Vie,NORMAL,5,18,2,0,0,0
201907,20191007,33559,201905,PREGUNTAS FRECUENTES,31909656,15075183,101359451,4706473,25387783,262051,25663219,12363029,7839206,9225119,389981,45914,803938,11100823,40878,40878,40878,40878,40878,40878,8878,8878,8878,8047,6935,6019,29097,29404,27660,24918,23139,21549,1,Lun,NORMAL,16,28,13,0,0,0
201907,20191017,25178,201905,PREGUNTAS FRECUENTES,31909656,15075183,101359451,4706473,25387783,262051,25663219,12363029,7839206,9225119,389981,45914,803938,11100823,26479,33709,33709,40878,40878,40878,23288,19845,12205,8047,6935,6019,24476,24948,22418,24918,23139,21549,4,Jue,NORMAL,26,7,23,0,0,0
